 Year ,Total Air Emissions  
1994,"1,380.00"
1995,"3,800.00"
1996,"5,100.00"
1997,"4,600.00"
1998,"5,100.00"
1999,"8,638.00"
2000,"8,500.00"
2001,"4,600.00"
2002,"2,959.00"
2003,"5,835.00"
2004,"6,127.00"
2005,"3,931.00"
