 Year ,Total Air Emissions  
1988,500
1989,500
1990,500
1991,500
1992,"2,550.00"
1993,"2,350.00"
1994,"2,100.00"
1995,500
1996,255
1997,255
1998,255
1999,255
2000,255
2001,255
2002,255
2003,255
2004,27.9
2005,91.9
