 Year ,Total Air Emissions  
1988,"3,477.00"
1989,"4,010.00"
1990,"1,763.00"
1991,"2,170.00"
1992,222
1993,7
1994,10
1995,5
1996,0
1997,66
1998,0
1999,312
2000,312
2001,312
2002,312
2003,312
2004,312
2005,312
2006,317
2007,312
2008,312
2009,392.5
2010,312
2011,312
2012,338.41
2013,312
2014,312
2015,312
2016,312
2017,312
