 Year ,Total Air Emissions  
1988,"2,229.00"
1989,"2,068.00"
1990,"3,556.00"
1991,"1,909.00"
1992,"1,802.00"
1993,"1,101.00"
1994,"1,140.00"
1995,"1,214.00"
1996,"1,188.00"
1997,946
1998,"1,151.00"
1999,450
2000,187
2001,200
2002,212
2003,704
2004,933
2005,737
2006,880
2007,677
2008,548
2009,"1,196.00"
2010,"9,765.00"
2011,"14,627.00"
2012,"13,444.00"
2013,"8,422.00"
2014,"6,412.00"
2015,"11,541.00"
2016,"11,541.00"
2017,918
