 Year ,Total Air Emissions  
1988,"5,050.00"
1989,"5,050.00"
1990,"4,877.00"
1991,"4,950.00"
1992,"5,050.00"
1993,"5,250.00"
1994,"5,470.00"
1995,"2,950.00"
1996,"2,950.00"
1997,"2,840.00"
1998,"2,850.00"
1999,230
2000,320
2001,300
2002,370
2003,370
2004,460
2005,350
2006,360
2007,46
