 Year ,Total Air Emissions  
1989,0
2000,0
2001,0
2002,0
2003,297
2004,326
2005,241
2006,228
2007,228
2008,213
2009,170
2010,233
2011,301
2012,427
2013,457
2014,443
2015,464
2016,373
2017,14
