"zip","population","freq","per_year","one_in_every_per_year","per_100000_per_year","zip_vs_state"
60002,24299,1978,131.866666666667,184.269464105157,542.683512353046,1.03951647877804
60004,50582,4530,302,167.490066225166,597.050334110949,1.14365674806885
60005,29308,2790,186,157.569892473118,634.639006414631,1.21565828005873
60007,33820,3155,210.333333333333,160.792393026941,621.919968460477,1.1912948172916
60008,22717,1723,114.866666666667,197.768427161927,505.641883464659,0.96856281471093
60010,44095,4109,273.933333333333,160.969822341202,621.234455909589,1.18998171015487
60012,11120,831,55.4,200.72202166065,498.201438848921,0.95431055789561
60013,26872,1649,109.933333333333,244.439053972104,409.099930534881,0.783635598977443
60014,48550,3293,219.533333333333,221.150926207106,452.17988328184,0.866155741502631
60015,26800,2452,163.466666666667,163.94779771615,609.950248756219,1.1683666822079
60016,59690,5181,345.4,172.814128546613,578.656391355336,1.10842294020678
60018,30099,2435,162.333333333333,185.41478439425,539.331317762495,1.03309531167488
60020,9825,862,57.4666666666667,170.9686774942,584.90245971162,1.12038735562781
60021,5545,375,25,221.8,450.856627592426,0.863621030085254
60022,8153,805,53.6666666666667,151.919254658385,658.244409010998,1.26087469888951
60025,39105,4091,272.733333333333,143.381813737472,697.43852022333,1.33595146748271
60026,13335,1304,86.9333333333333,153.393404907975,651.918510186227,1.24875736729246
60029,482,70,4.66666666666667,103.285714285714,968.188105117566,1.85457539600327
60030,36056,2691,179.4,200.98104793757,497.559352118926,0.953080633415797
60031,37947,2481,165.4,229.425634824667,435.871083353098,0.834916048589328
60033,13922,852,56.8,245.105633802817,407.987358138199,0.781504453818507
60034,2040,161,10.7333333333333,190.062111801242,526.143790849673,1.0078344529457
60035,29763,3456,230.4,129.1796875,774.115512549138,1.4828271238302
60040,5431,318,21.2,256.179245283019,390.351684772602,0.747723119651203
60041,9250,778,51.8666666666667,178.341902313625,560.720720720721,1.07406695783729
60042,8547,530,35.3333333333333,241.896226415094,413.400413400413,0.791873223124231
60043,2513,209,13.9333333333333,180.358851674641,554.450192333201,1.06205568894649
60044,9792,898,59.8666666666667,163.563474387528,611.383442265795,1.171111980778
60045,20925,2182,145.466666666667,143.84738771769,695.181202708084,1.33162754994787
60046,35111,2263,150.866666666667,232.728678745029,429.684904066152,0.823066351366038
60047,41669,2745,183,227.699453551913,439.175406177254,0.841245516776079
60048,29095,2367,157.8,184.378960709759,542.361230451968,1.0388991441081
60050,31620,2361,157.4,200.889453621347,497.786211258697,0.953515184694369
60051,25192,1847,123.133333333333,204.591229020032,488.779506721711,0.936262739074478
60053,23260,2494,166.266666666667,139.895749799519,714.81799942677,1.36924205880033
60056,55219,4842,322.8,171.062577447336,584.581394085369,1.11977235074621
60060,37189,2296,153.066666666667,242.959494773519,411.591241137612,0.788407732949349
60061,25748,1697,113.133333333333,227.589864466706,439.386877945213,0.841650593367841
60062,39936,5080,338.666666666667,117.92125984252,848.023504273504,1.62439872783517
60064,15407,901,60.0666666666667,256.49833518313,389.866078189568,0.746792934683765
60067,38585,3182,212.133333333333,181.890320553111,549.781866874001,1.05311345810168
60068,37475,3997,266.466666666667,140.636727545659,711.051812319324,1.36202788429303
60069,8384,988,65.8666666666667,127.287449392713,785.623409669211,1.50487063246847
60070,16001,1309,87.2666666666667,183.357524828113,545.382580255401,1.0446865742351
60071,3598,330,22,163.545454545455,611.450806003335,1.17124101678822
60072,928,63,4.2,220.952380952381,452.586206896552,0.866934059036875
