"year","total_emissions","total_emissions_tons"
1994,1380,0.625963893676857
1995,3800,1.72366869273338
1996,5100,2.31334482445795
1997,4600,2.08654631225619
1998,5100,2.31334482445795
1999,8638,3.91817109679761
2000,8500,3.85557470742992
2001,4600,2.08654631225619
2002,2959,1.34219359521002
2003,5835,2.64673863739454
2004,6127,2.77918896852037
2005,3931,1.78308990293024
